X,Y,STATE,NAME,LAT,LON,Start_Time,Full_Time,End_Time,ObjectId
-87.278181,39.96635,IN,Kingman,39.96635,-87.278181,2024/02/18 17:49:30+00,2024/02/18 19:06:30+00,2024/02/18 20:21:50+00,7817
-86.109105,38.408396,IN,Palmyra,38.408396,-86.109105,2024/02/18 17:49:00+00,2024/02/18 19:06:50+00,2024/02/18 20:22:30+00,7818
-89.433463,40.706396,IL,Washington,40.706396,-89.433463,2024/02/18 17:47:30+00,2024/02/18 19:04:00+00,2024/02/18 20:19:20+00,7819
-86.697191,41.530212,IN,Kingsbury,41.530212,-86.697191,2024/02/18 17:52:30+00,2024/02/18 19:08:50+00,2024/02/18 20:23:10+00,7820
-84.830252,38.835164,IN,Patriot,38.835164,-84.830252,2024/02/18 17:51:30+00,2024/02/18 19:09:10+00,2024/02/18 20:24:20+00,7821
-88.677644,41.996728,IL,Sycamore,41.996728,-88.677644,2024/02/18 17:50:30+00,2024/02/18 19:06:20+00,2024/02/18 20:20:40+00,7822
-90.092563,38.628459,IL,Washington Park,38.628459,-90.092563,2024/02/18 17:43:20+00,2024/02/18 19:01:00+00,2024/02/18 20:17:30+00,7823
-86.693015,41.478395,IN,Kingsford Heights,41.478395,-86.693015,2024/02/18 17:52:20+00,2024/02/18 19:08:40+00,2024/02/18 20:23:00+00,7824
-87.51276,40.363738,IN,Pence,40.363738,-87.51276,2024/02/18 17:49:40+00,2024/02/18 19:06:30+00,2024/02/18 20:21:40+00,7825
-88.053083,41.325604,IL,Symerton,41.325604,-88.053083,2024/02/18 17:50:20+00,2024/02/18 19:06:40+00,2024/02/18 20:21:20+00,7826
-90.275446,41.02523,IL,Wataga,41.02523,-90.275446,2024/02/18 17:46:50+00,2024/02/18 19:03:10+00,2024/02/18 20:18:10+00,7827
-86.621247,41.291003,IN,Knox,41.291003,-86.621247,2024/02/18 17:52:10+00,2024/02/18 19:08:40+00,2024/02/18 20:23:10+00,7828
-87.435928,40.05321,IN,Perrysville,40.05321,-87.435928,2024/02/18 17:49:20+00,2024/02/18 19:06:20+00,2024/02/18 20:21:40+00,7829
-90.425239,40.365034,IL,Table Grove,40.365034,-90.425239,2024/02/18 17:45:40+00,2024/02/18 19:02:20+00,2024/02/18 20:17:50+00,7830
-90.152716,38.341214,IL,Waterloo,38.341214,-90.152716,2024/02/18 17:42:50+00,2024/02/18 19:00:40+00,2024/02/18 20:17:10+00,7831
-86.47809,41.412205,IN,Koontz Lake,41.412205,-86.47809,2024/02/18 17:52:40+00,2024/02/18 19:09:00+00,2024/02/18 20:23:20+00,7832
-86.070561,40.758651,IN,Peru,40.758651,-86.070561,2024/02/18 17:52:20+00,2024/02/18 19:09:00+00,2024/02/18 20:23:40+00,7833
-89.93661,39.945725,IL,Tallula,39.945725,-89.93661,2024/02/18 17:45:40+00,2024/02/18 19:02:30+00,2024/02/18 20:18:20+00,7834
-88.763066,41.765591,IL,Waterman,41.765591,-88.763066,2024/02/18 17:50:00+00,2024/02/18 19:06:00+00,2024/02/18 20:20:30+00,7835
-87.026581,41.317175,IN,Kouts,41.317175,-87.026581,2024/02/18 17:51:40+00,2024/02/18 19:08:00+00,2024/02/18 20:22:40+00,7836
-87.285081,40.338958,IN,Kramer,40.338958,-87.285081,2024/02/18 17:50:00+00,2024/02/18 19:06:50+00,2024/02/18 20:22:00+00,7837
-86.085523,38.031806,IN,Laconia,38.031806,-86.085523,2024/02/18 17:48:40+00,2024/02/18 19:06:30+00,2024/02/18 20:22:20+00,7838
-86.889786,41.31777,IN,La Crosse,41.31777,-86.889786,2024/02/18 17:51:50+00,2024/02/18 19:08:20+00,2024/02/18 20:22:50+00,7839
-86.862806,40.39941,IN,Lafayette,40.39941,-86.862806,2024/02/18 17:50:40+00,2024/02/18 19:07:30+00,2024/02/18 20:22:30+00,7840
-85.418071,41.648151,IN,Lagrange,41.648151,-85.418071,2024/02/18 17:54:30+00,2024/02/18 19:10:40+00,2024/02/18 20:24:40+00,7841
-85.727893,40.841715,IN,Lagro,40.841715,-85.727893,2024/02/18 17:53:00+00,2024/02/18 19:09:30+00,2024/02/18 20:24:10+00,7842
-86.465203,41.073456,IN,Lake Bruce,41.073456,-86.465203,2024/02/18 17:52:10+00,2024/02/18 19:08:40+00,2024/02/18 20:23:10+00,7843
-86.536901,40.765872,IN,Lake Cicott,40.765872,-86.536901,2024/02/18 17:51:40+00,2024/02/18 19:08:20+00,2024/02/18 20:23:00+00,7844
-87.402809,41.337556,IN,Lake Dalecarlia,41.337556,-87.402809,2024/02/18 17:51:10+00,2024/02/18 19:07:30+00,2024/02/18 20:22:10+00,7845
-87.181697,41.429123,IN,Lake Eliza,41.429123,-87.181697,2024/02/18 17:51:40+00,2024/02/18 19:08:00+00,2024/02/18 20:22:30+00,7846
-85.315589,41.157461,IN,Lake Everett,41.157461,-85.315589,2024/02/18 17:53:50+00,2024/02/18 19:10:20+00,2024/02/18 20:24:40+00,7847
-87.309098,39.993372,IN,Lake Holiday Hideaway,39.993372,-87.309098,2024/02/18 17:49:30+00,2024/02/18 19:06:30+00,2024/02/18 20:21:50+00,7848
-86.223227,41.42226,IN,Lake of the Woods,41.42226,-86.223227,2024/02/18 17:53:00+00,2024/02/18 19:09:20+00,2024/02/18 20:23:40+00,7849
